ID	Title	Description			 price 	Availability 	Condition	Link	image link									
16773055	CAT	745	2023	2460	" $845,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
16886480	CAT	745	2021	4131	" $546,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
16999905	CAT	745	2018	6724	" $409,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17113330	CAT	745	2020	2236	" $640,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17226755	CAT	745	2023	2990	" $634,305.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17340180	CAT	745	2024	2436	" $761,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17453605	CAT	745	2023	3336	" $588,105.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17567030	CAT	745	2023	2255	" $840,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17680455	CAT	745	2021	2559	" $672,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17793880	CAT	745	2021	3002	" $672,000.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
17907305	CAT	745 RIM	0	0	" $2,700.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18020730	CAT	745C TG	0	0	" $5,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18134155	CAT	745	2024	2675	" $715,155.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18247580	CAT	745	2023	2081	" $936,598.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18361005	CAT	745	2022	3784	" $690,898.95 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18474430	CAT	745	2022	1715	" $761,250.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18587855	CAT	745	2023	1761	" $716,205.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18701280	CAT	745	2024	2079	" $747,705.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18814705	CAT	745	2024	2434	" $736,155.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
18928130	CAT	745	2023	2833	" $635,355.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
19041555	CAT	745	2023	1153	" $850,500.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
19154980	CAT	745	2022	3562	" $524,055.00 "	in stock	used	https://americanironus.com/equipment-articulated-trucks.html	https://americanironus.com/assets/img/equipment-categories/articulated-trucks.png									
